Grams/kohms,White (kohm),Green,Yellow,,Green,White,Black
100,10229,10229,10229,,,,
200,10229,2556.5,10229,,,,
300,47.48,42.91,425.25,,,,
400,25.37,23.3,72.07,,,,
500,8.78,20.77,10.39,,23.71,21.39,21.78
600,4.74,14,7.24,,7.62,8.71,6.13
700,3.71,10.63,5.42,,7.28,4.67,6.28
800,2.7,6.82,3.56,,5.19,4.16,2.73
900,1.93,6,2.52,,2.77,2.18,2.11
1000,1.74,5.03,2.38,,1.75,1.77,1.82
1100,1.69,3.88,2.03,,1.51,1.5,1.54
1200,1.53,3.38,1.9,,1.18,1.09,1.16
1300,1.45,2.56,1.68,,1.01,0.92,1.15
1400,1.37,2.28,1.6,,,,
1500,1.15,1.95,1.54,,,,
1600,1.14,1.83,1.55,,,,
1700,0.99,1.6,1.36,,,,
1800,1.01,1.37,1.26,,,,
